crewtype,region,gacc_pl,national_pl,drawndown,mobile,staffing
Crew 1,AICC,1,1,0,0,0
Crew 1,AICC,1,2,0,0,0
Crew 1,AICC,1,3,0,0,0
Crew 1,AICC,1,4,0,0,0
Crew 1,AICC,1,5,0,0,0
Crew 1,AICC,2,1,0,0,0
Crew 1,AICC,2,2,0,0,0
Crew 1,AICC,2,3,0,0,0
Crew 1,AICC,2,4,0,0,0
Crew 1,AICC,2,5,0,0,0
Crew 1,AICC,3,1,0,0,0
Crew 1,AICC,3,2,0,0,0
Crew 1,AICC,3,3,0,0,0
Crew 1,AICC,3,4,0,0,0
Crew 1,AICC,3,5,0,0,0
Crew 1,AICC,4,1,0,0,0
Crew 1,AICC,4,2,0,0,0
Crew 1,AICC,4,3,0,0,0
Crew 1,AICC,4,4,0,0,0
Crew 1,AICC,4,5,0,0,0
Crew 1,AICC,5,1,0,0,0
Crew 1,AICC,5,2,0,0,0
Crew 1,AICC,5,3,0,0,0
Crew 1,AICC,5,4,0,0,0
Crew 1,AICC,5,5,0,0,0
Crew 1,NWCC,1,1,10,0,10
Crew 1,NWCC,1,2,5,5,10
Crew 1,NWCC,1,3,5,5,10
Crew 1,NWCC,1,4,10,0,10
Crew 1,NWCC,1,5,10,0,10
Crew 1,NWCC,2,1,10,0,10
Crew 1,NWCC,2,2,8,2,10
Crew 1,NWCC,2,3,2,8,10
Crew 1,NWCC,2,4,10,0,10
Crew 1,NWCC,2,5,10,0,10
Crew 1,NWCC,3,1,10,0,10
Crew 1,NWCC,3,2,10,0,10
Crew 1,NWCC,3,3,9,1,10
Crew 1,NWCC,3,4,2,8,10
Crew 1,NWCC,3,5,10,0,10
Crew 1,NWCC,4,1,10,0,10
Crew 1,NWCC,4,2,10,0,10
Crew 1,NWCC,4,3,10,0,10
Crew 1,NWCC,4,4,9,1,10
Crew 1,NWCC,4,5,9,1,10
Crew 1,NWCC,5,1,10,0,10
Crew 1,NWCC,5,2,10,0,10
Crew 1,NWCC,5,3,10,0,10
Crew 1,NWCC,5,4,10,0,10
Crew 1,NWCC,5,5,10,0,10
Crew 1,ONCC,1,1,13,0,13
Crew 1,ONCC,1,2,12,1,13
Crew 1,ONCC,1,3,13,0,13
Crew 1,ONCC,1,4,13,0,13
Crew 1,ONCC,1,5,13,0,13
Crew 1,ONCC,2,1,13,0,13
Crew 1,ONCC,2,2,8,5,13
Crew 1,ONCC,2,3,5,8,13
Crew 1,ONCC,2,4,13,0,13
Crew 1,ONCC,2,5,13,0,13
Crew 1,ONCC,3,1,13,0,13
Crew 1,ONCC,3,2,11,2,13
Crew 1,ONCC,3,3,10,3,13
Crew 1,ONCC,3,4,6,7,13
